Player,Team,#,Nation,Position,Age,Matches,Starts,Minutes,Goals,Assists,Penalty Shoot,Total Shoot,Shoot on Target,Expected Goals (xG),Non-Penalty xG (npxG),Expected Assists (xAG),Yellow Cards,Red Cards,Touches,Dribbles,Tackles,Blocks,Shot-Creating Actions,Goal-Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Dribble Attempts,Successful Dribbles
Juan Berrocal,Getafe,4,ESP,CB,25-133,7,7,552,0,0,0,1,0,0.028571428571428574,0.028571428571428574,0.0,3,1,238,10,7,1,2,0,136,183,8,91,1,0,0
Mario Martín,Valladolid,12,ESP,DM,20-173,11,11,552,0,1,0,7,3,0.009090909090909092,0.009090909090909092,0.02727272727272727,3,1,326,20,5,8,14,1,209,246,25,179,4,12,8
Juan Cruz Armada,Osasuna,3,ESP,LB,32-020,8,8,550,0,0,0,3,0,0.0125,0.0125,0.0,1,0,278,9,2,4,6,1,169,229,19,104,6,4,1
Ander Barrenetxea,Real Sociedad,7,ESP,LM,22-235,11,11,550,0,1,0,11,2,0.07272727272727274,0.07272727272727274,0.09999999999999999,2,0,320,12,6,9,17,2,157,217,23,203,24,28,9
Yeremi Pino,Villarreal,21,ESP,RM,21-304,12,12,548,0,3,0,11,0,0.09166666666666667,0.09166666666666667,0.225,2,0,273,13,3,8,27,5,151,205,18,163,11,13,7
Chidera Ejuke,Sevilla,21,NGA,RM,26-234,9,9,543,1,0,0,11,5,0.07777777777777778,0.07777777777777778,0.14444444444444446,0,0,342,5,1,6,30,1,211,265,23,243,50,49,31
Juan Soriano,Leganés,1,ESP,GK,26-360,6,6,540,0,0,0,0,0,0.0,0.0,0.0,1,0,199,1,0,0,0,0,98,185,0,90,0,0,0
José Campaña,Las Palmas,8,ESP,DM,31-090,10,10,537,0,1,0,2,1,0.0,0.0,0.039999999999999994,3,0,462,10,14,2,19,1,362,407,38,242,3,9,4
Iván Sánchez,Valladolid,10,ESP,RW,31-331,13,13,534,1,1,0,5,2,0.007692307692307693,0.007692307692307693,0.09999999999999999,3,0,279,13,6,7,22,1,153,216,29,173,22,24,15
Eric Bailly,Villarreal,4,CIV,CB,30-129,8,8,534,0,0,0,3,0,0.037500000000000006,0.037500000000000006,0.0,2,0,327,9,6,11,2,0,236,265,13,164,1,3,3
Williot Swedberg,Celta Vigo,19,SWE,CB,20-197,13,13,533,2,3,0,14,7,0.2153846153846154,0.2153846153846154,0.13076923076923078,1,0,232,6,1,7,11,3,108,154,12,153,12,13,2
Jorge Sáenz,Leganés,3,ESP,CB,27-285,8,8,530,1,0,0,1,1,0.05,0.05,0.0,2,0,442,14,9,5,6,0,303,368,9,255,3,1,0
Héctor Bellerín,Real Betis,2,ESP,RB,29-178,7,7,524,0,1,0,1,1,0.014285714285714287,0.014285714285714287,0.3,1,0,354,12,6,4,11,1,247,305,24,196,3,8,6
Tanguy Nianzou,Sevilla,24,FRA,CB,22-070,6,6,518,0,0,0,2,0,0.03333333333333333,0.03333333333333333,0.0,3,1,376,7,8,2,1,0,285,314,10,207,4,3,3
Ayoze Pérez,Villarreal,22,ESP,FW,31-021,9,9,517,7,0,0,20,7,0.3222222222222222,0.3222222222222222,0.1111111111111111,3,0,189,6,2,5,18,0,95,117,23,130,24,21,9
Beñat Turrientes,Real Sociedad,22,ESP,LM,22-200,11,11,516,0,0,0,5,1,0.03636363636363636,0.03636363636363636,0.0,2,0,290,11,1,11,3,0,201,234,26,140,10,13,5
