Player,Team,#,Nation,Position,Age,Matches,Starts,Minutes,Goals,Assists,Penalty Shoot,Total Shoot,Shoot on Target,Expected Goals (xG),Non-Penalty xG (npxG),Expected Assists (xAG),Yellow Cards,Red Cards,Touches,Dribbles,Tackles,Blocks,Shot-Creating Actions,Goal-Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Dribble Attempts,Successful Dribbles
Gavi,Barcelona,6,ESP,DM,20-076,7,7,164,0,0,0,0,0,0.0,0.0,0.09999999999999999,1,0,159,5,4,5,7,1,116,133,12,85,1,6,2
Silvi Clúa,Girona,28,ESP,CM,19-271,4,4,163,0,0,0,2,1,0.0,0.0,0.0,0,0,116,8,2,1,2,0,75,95,3,61,3,4,2
Rafael Bauza,Espanyol,35,ESP,DM,19-278,3,3,154,0,0,0,3,0,0.0,0.0,0.0,1,0,65,4,0,3,1,0,40,47,7,34,1,2,1
Iker Muñoz,Osasuna,18,ESP,RM,21-286,5,5,153,0,0,0,1,0,0.0,0.0,0.0,0,0,74,1,1,2,0,0,47,64,2,38,1,1,1
Chiquinho,Mallorca,20,POR,AM,24-231,6,6,143,0,0,0,3,2,0.05000000000000001,0.05000000000000001,0.0,2,0,71,1,2,3,7,1,21,32,1,39,3,12,4
Suso,Sevilla,10,ESP,FW,30-310,6,6,142,0,0,0,5,1,0.016666666666666666,0.016666666666666666,0.03333333333333333,0,0,118,1,0,0,13,0,73,94,11,80,6,15,7
Raúl Chasco,Valladolid,30,ESP,LB,21-014,2,2,130,0,0,0,0,0,0.0,0.0,0.0,0,0,74,4,2,1,2,1,35,58,3,28,1,2,0
Borja Mayoral,Getafe,9,ESP,FW,27-166,5,5,130,1,0,1,3,1,0.24000000000000005,0.08,0.06,0,0,55,1,0,1,2,0,20,37,0,32,0,3,3
Ansu Fati,Barcelona,10,ESP,"RW,LW",21-341,4,4,127,0,0,0,5,3,0.15000000000000002,0.15000000000000002,0.025,1,0,80,1,0,0,4,0,52,61,3,59,4,5,2
Ramón Terrats,Villarreal,20,ESP,CM,23-306,10,10,126,0,0,0,2,0,0.0,0.0,0.03,1,0,105,3,2,3,4,0,64,78,7,64,1,6,1
James Rodríguez,Rayo Vallecano,10,COL,LW,33-066,5,5,126,0,0,0,3,2,0.0,0.0,0.04,1,0,102,3,1,2,6,0,68,85,12,62,3,4,2
Rodri,Real Betis,17,ESP,RW,24-091,3,3,118,0,0,0,2,2,0.03333333333333333,0.03333333333333333,0.03333333333333333,0,0,86,2,1,2,11,0,56,66,8,57,4,6,2
Stanis Idumbo,Sevilla,27,BEL,RW,19-064,4,4,116,1,0,0,1,1,0.15,0.15,0.0,0,0,38,4,3,2,0,0,12,15,1,26,4,6,4
Nacho Vidal,Osasuna,2,ESP,RB,29-213,4,4,116,0,0,0,0,0,0.0,0.0,0.0,0,0,56,2,0,1,0,0,35,44,1,21,2,2,2
Marc Domenech,Mallorca,30,ESP,LW,18-239,3,3,115,0,0,0,3,1,0.03333333333333333,0.03333333333333333,0.0,0,0,36,0,0,2,1,0,15,22,2,16,0,1,1
Denis Suárez,Villarreal,6,ESP,LM,30-260,5,5,115,0,0,0,3,2,0.1,0.1,0.02,0,0,51,1,0,1,5,0,30,41,4,35,5,3,3
Aridane Hernández,Rayo Vallecano,5,ESP,CB,35-211,3,3,114,0,0,0,2,1,0.13333333333333333,0.13333333333333333,0.0,0,0,74,2,2,0,1,0,53,58,13,33,1,1,0
Mihailo Ristić,Celta Vigo,21,SRB,LM,29-004,2,2,111,0,0,0,0,0,0.0,0.0,0.0,0,0,66,2,0,0,0,0,39,51,1,37,0,6,1
Carlos Guirao,Real Betis,34,ESP,DM,21-210,2,2,110,0,0,0,0,0,0.0,0.0,0.0,0,0,60,5,3,1,0,0,36,46,2,28,1,1,1
Nicolás Serrano,Athletic Club,22,ESP,RW,21-228,2,2,97,0,0,0,3,0,0.05,0.05,0.0,0,0,46,1,0,4,2,0,19,31,3,21,0,7,3
Pedro Díaz,Rayo Vallecano,4,ESP,LW,26-080,5,5,94,0,0,0,2,0,0.04,0.04,0.0,1,0,70,1,1,3,4,0,43,53,7,26,0,0,0
Daley Sinkgraven,Las Palmas,22,NED,LB,29-079,2,2,91,0,0,0,0,0,0.0,0.0,0.0,0,0,77,5,1,1,2,0,50,66,3,46,2,1,1
Maximiliano Caufriez,Valencia,2,BEL,CB,27-254,1,1,90,0,0,0,0,0,0.0,0.0,0.0,0,0,23,1,1,2,0,0,11,14,1,8,0,0,0
Jon Martin,Real Sociedad,31,ESP,CB,18-240,2,2,90,0,0,0,2,0,0.05,0.05,0.0,1,0,44,0,1,1,1,0,20,30,2,18,0,0,0
Willy Kambwala,Villarreal,5,FRA,CB,19-364,1,1,90,0,0,0,0,0,0.0,0.0,0.0,0,0,50,4,0,1,0,0,30,41,2,20,0,0,0
Juan Musso,Atlético Madrid,1,ARG,GK,30-117,1,1,90,0,0,0,0,0,0.0,0.0,0.0,0,0,30,0,0,0,0,0,23,29,0,13,0,0,0
Justin Smith,Espanyol,40,CAN,CM,21-273,2,2,89,0,0,0,0,0,0.0,0.0,0.0,0,0,25,4,2,1,0,0,9,15,1,13,1,2,1
Chuky san jose,Valladolid,28,ESP,CM,20-112,4,4,89,0,0,0,0,0,0.0,0.0,0.0,1,0,20,1,0,2,2,0,7,12,0,11,0,0,0
Olasagasti,Real Sociedad,16,ESP,CM,24-008,5,5,87,0,0,0,1,0,0.02,0.02,0.0,0,0,52,3,1,0,3,0,34,42,3,21,4,3,1
Jesus Rodríguez,Real Betis,36,ESP,"RW,LW",19-010,1,1,82,0,0,0,1,1,0.1,0.1,0.0,0,0,41,1,1,0,3,0,12,21,0,25,3,11,3
Pablo Marín,Real Sociedad,28,ESP,LM,21-052,4,4,81,0,0,0,0,0,0.0,0.0,0.0,0,0,52,3,0,0,1,0,25,41,3,23,1,3,3
Germán Valera,Valencia,30,ESP,RM,22-183,6,6,78,0,0,0,2,1,0.016666666666666666,0.016666666666666666,0.0,0,0,40,1,3,0,4,0,20,26,2,25,1,3,1
Alberto Risco,Getafe,26,ESP,LW,18-360,5,5,69,0,0,0,4,1,0.02,0.02,0.02,0,0,57,4,0,2,6,0,25,34,3,32,3,6,1
Endrick,Real Madrid,16,BRA,FW,18-035,10,10,69,1,0,0,9,3,0.05,0.05,0.0,1,0,46,0,1,0,3,2,24,30,3,30,5,5,2
Marc Cardona,Las Palmas,9,ESP,FW,29-039,5,5,68,0,0,0,2,0,0.04,0.04,0.0,1,0,34,1,0,0,1,0,21,24,0,17,1,2,0
Sergi Guardiola,Rayo Vallecano,12,ESP,FW,33-110,4,4,66,0,0,0,0,0,0.0,0.0,0.0,0,0,33,1,0,0,2,0,14,24,1,22,0,0,0
Rodrigo Abajas,Valencia,39,ESP,LB,21-162,1,1,65,0,0,0,1,0,0.1,0.1,0.0,1,0,36,3,1,1,0,0,17,29,2,13,3,1,1
Antoniu,Espanyol,31,ESP,LM,21-349,4,4,59,0,0,0,3,0,0.05,0.05,0.025,2,0,35,3,1,0,4,0,6,16,0,14,1,2,2
Javi Martón,Athletic Club,19,ESP,FW,25-114,3,3,53,0,0,0,0,0,0.0,0.0,0.0,1,0,14,0,0,0,1,0,6,7,0,6,0,0,0
Fabio González,Las Palmas,6,ESP,CM,27-216,2,2,53,0,0,0,2,0,0.05,0.05,0.0,0,0,57,0,0,0,2,1,43,53,6,37,0,0,0
Juan Bernat,Villarreal,12,ESP,LM,31-183,7,7,49,0,1,0,0,0,0.0,0.0,0.042857142857142864,0,0,42,3,0,2,2,1,25,31,2,25,2,3,0
Martín Tejón,Valencia,32,ESP,LB,20-127,4,4,49,0,0,0,1,0,0.025,0.025,0.0,0,0,34,2,0,0,1,0,20,26,4,17,0,4,2
Iker Almena,Girona,30,ESP,"WB,LW",20-103,2,2,48,0,1,0,1,0,0.0,0.0,0.3,0,0,39,0,0,1,3,2,23,32,2,32,6,3,2
Papa Ba,Girona,44,ESP,RM,20-044,1,1,48,0,0,0,1,0,0.0,0.0,0.0,0,0,20,1,0,1,2,0,5,13,0,9,1,2,1
Coba da Costa,Getafe,29,ESP,LW,22-128,1,1,45,0,0,0,1,1,0.0,0.0,0.0,0,0,16,2,1,1,1,0,4,8,0,11,3,2,1
Urko González,Real Sociedad,15,ESP,CM,23-151,1,1,45,0,0,0,0,0,0.0,0.0,0.0,1,0,20,0,0,1,1,0,10,17,1,12,0,0,0
Álvaro Odriozola,Real Sociedad,2,ESP,RB,28-278,2,2,43,0,0,0,0,0,0.0,0.0,0.0,1,0,35,1,0,0,1,0,22,30,3,21,0,0,0
Pau Cabanes,Villarreal,33,ESP,RM,19-226,3,3,38,0,0,0,0,0,0.0,0.0,0.0,0,0,28,2,0,2,2,1,16,20,2,16,2,2,0
Francisco Perez,Valencia,23,ESP,RM,22-015,3,3,37,0,0,0,1,0,0.0,0.0,0.0,0,0,23,1,0,1,0,0,9,14,2,12,1,0,0
Iker Benito,Osasuna,27,ESP,LW,22-019,2,2,37,0,0,0,0,0,0.0,0.0,0.0,0,0,18,0,1,0,1,0,9,13,0,8,2,1,0
José Arnaiz,Osasuna,20,ESP,RW,29-154,4,4,33,0,0,0,1,0,0.0,0.0,0.025,0,0,27,2,1,0,2,0,10,17,2,17,2,2,0
John Joe,Getafe,31,IRL,LW,20-313,3,3,32,0,0,0,2,0,0.03333333333333333,0.03333333333333333,0.0,0,0,26,0,0,1,0,0,14,17,0,18,1,4,2
Mateo Flores,Real Betis,46,ESP,DM,20-195,2,2,31,0,0,0,0,0,0.0,0.0,0.0,0,0,15,0,0,0,1,0,10,12,1,10,0,0,0
Naci Ünüvar,Espanyol,37,NED,"LM,LB",21-105,2,2,31,0,0,0,1,0,0.0,0.0,0.0,0,0,23,2,0,0,2,0,13,18,1,14,1,2,0
Abdoulaye Keita,Getafe,36,ESP,LM,22-024,1,1,28,0,0,0,0,0,0.0,0.0,0.0,0,0,9,0,0,1,0,0,2,7,1,1,0,0,0
Andreas Christensen,Barcelona,15,DEN,CB,28-129,1,1,27,0,0,0,0,0,0.0,0.0,0.0,1,0,18,0,0,0,0,0,14,16,0,9,0,0,0
Kim Minsu,Girona,29,KOR,RM,18-274,3,3,22,0,0,0,0,0,0.0,0.0,0.0,0,0,18,1,0,0,0,0,9,10,0,12,0,2,0
Daniel Luna,Mallorca,33,COL,RM,21-178,2,2,20,0,0,0,0,0,0.0,0.0,0.0,0,0,17,0,0,1,1,0,8,13,0,11,1,3,1
Peio Canales,Athletic Club,28,ESP,AM,19-256,1,1,20,0,0,0,1,0,0.0,0.0,0.0,0,0,17,1,1,0,0,0,9,11,0,10,0,1,0
Gorka Rivera Alonso,Getafe,30,ESP,"LM,LB,CB",20-044,1,1,20,0,0,0,0,0,0.0,0.0,0.0,0,0,17,2,0,0,0,0,5,11,1,5,0,2,0
Mario Maroto,Valladolid,34,ESP,CM,20-304,1,1,19,0,1,0,0,0,0.0,0.0,0.1,0,0,19,0,2,0,2,1,11,15,1,5,0,1,1
Adu Ares,Athletic Club,23,ESP,RW,22-317,1,1,19,0,0,0,0,0,0.0,0.0,0.0,0,0,11,0,0,0,1,0,5,9,3,8,1,1,0
Israel Domínguez,Sevilla,41,ESP,LW,21-180,1,1,18,0,0,0,0,0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,2,2,0,1,0,0,0
Ferrán Ruiz,Girona,45,ESP,DM,21-198,1,1,18,0,0,0,0,0,0.0,0.0,0.0,0,0,9,0,1,2,0,0,3,6,1,5,0,0,0
Pejiño,Las Palmas,7,ESP,FW,28-059,1,1,16,0,0,0,1,0,0.0,0.0,0.0,0,0,9,1,0,0,1,0,6,7,1,9,1,0,0
David Otorbi,Valencia,27,ESP,LM,16-306,1,1,14,0,0,0,0,0,0.0,0.0,0.0,0,0,6,0,0,1,0,0,2,4,0,3,1,2,0
Gonzalo Montiel,Sevilla,15,ARG,"LM,FW",27-257,3,3,12,0,0,0,1,0,0.0,0.0,0.0,0,0,13,0,0,0,0,0,7,9,0,9,1,1,0
Franco Cervi,Celta Vigo,11,ARG,WB,30-132,1,1,12,0,0,0,0,0,0.0,0.0,0.0,0,0,6,0,1,0,0,0,4,5,1,3,0,0,0
Mateo Mejía,Sevilla,34,ESP,FW,21-182,1,1,11,0,0,0,0,0,0.0,0.0,0.0,0,0,2,0,0,0,1,0,0,1,0,1,0,1,0
Jesús Vallejo,Real Madrid,18,ESP,CB,27-263,1,1,11,0,0,0,0,0,0.0,0.0,0.0,0,0,16,0,0,0,0,0,12,14,0,13,0,0,0
Kenedy,Valladolid,24,BRA,CM,28-220,2,2,9,0,0,0,1,0,0.0,0.0,0.0,0,0,5,0,0,1,0,0,1,2,0,4,1,1,0
Thomas Lemar,Atlético Madrid,11,FRA,CM,28-350,1,1,7,0,0,0,0,0,0.0,0.0,0.0,0,0,8,0,0,0,1,0,6,6,2,6,0,1,0
Alberto Marí,Valencia,19,ESP,FW,23-043,1,1,7,0,0,0,0,0,0.0,0.0,0.0,0,0,4,0,0,0,1,0,2,4,1,2,0,0,0
David Argüelles,Getafe,34,ESP,LM,22-300,1,1,7,0,0,0,0,0,0.0,0.0,0.0,0,0,7,0,0,2,0,0,3,5,0,3,1,0,0
Jon Magunacelaya,Real Sociedad,25,ESP,RM,24-077,2,2,7,0,0,0,0,0,0.0,0.0,0.0,0,0,16,1,0,0,1,1,7,13,1,9,0,0,0
Javi Martínez,Osasuna,21,ESP,DM,24-251,1,1,6,0,0,0,0,0,0.0,0.0,0.0,0,0,10,0,0,0,0,0,9,9,1,6,0,0,0
Aboubacar Bassinga,Las Palmas,26,CIV,AM,19-034,1,1,4,0,0,0,0,0,0.0,0.0,0.0,0,0,4,0,0,0,0,0,2,4,0,3,0,0,0
Joseph Aidoo,Celta Vigo,15,GHA,CB,28-352,1,1,2,0,0,0,0,0,0.0,0.0,0.0,0,0,8,1,0,0,0,0,6,7,1,7,0,0,0
Tadeo Allende,Celta Vigo,23,ARG,FW,25-258,1,1,2,0,0,0,0,0,0.0,0.0,0.0,0,0,4,0,0,0,0,0,1,3,0,3,0,1,0
